"This dataset is retrieved from Almeida et al. (2017) NHESS. It consists of 10,000 data points (rows) of 28 input variables (columns) of a slope stability model. The variables are model parameters characterising the slope geometry, soil and design storm properties and initial hydrological conditions. The model output is the slope factor of safety (FoS) and according to its value we can distinguish two classes in the dataset (last column): Stable (FoS>1) and Failure (otherwise)                                                                                                                                                                                                                                                                                                                                                            Almeida, S., Holcombe, E., Pianosi, F., & Wagener, T. (2017). Dealing with deep uncertainties in landslide modelling for disaster risk reduction under climate change. Natural Hazards and Earth System Sciences, 17(2), 225-241.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
delta,H,H0,H1,DWT,theta_s_0,theta_r_0,alpha_0,n_0,theta_s_1,theta_r_1,alpha_1,n_1,theta_s_2,theta_r_2,alpha_2,n_2,c_0,phi_0,K_sat_0,gamma_us_0,c_1,phi_1,K_sat_1,gamma_us_1,psi_init,I,D,Classes
29.465,48.061,3.6649,5.4581,68.404,0.41228,0.14134,7.593,1.6147,0.38772,0.098374,20.155,1.6152,0.46481,0.17114,2.7262,1.0508,4.2459,26.201,1.31E-05,16.744,25.023,28.845,2.73E-06,19.131,-0.98322,0.097749,51,Failure
28.29,48.846,4.0682,2.0104,85.05,0.41438,0.16742,6.3413,2.3257,0.33292,0.12222,0.69783,1.351,0.47625,0.14102,7.0867,1.464,12.053,23.865,2.89E-05,16.017,26.5,29.635,2.87E-06,19.403,-1.2687,0.076668,52,Stable
29.663,48.963,3.7288,2.688,77.218,0.39214,0.16207,28.339,1.0478,0.43369,0.17457,11.595,1.6967,0.46289,0.083405,0.19297,1.3528,5.5995,24.85,3.00E-05,16.133,24.027,42.787,2.51E-06,18.572,-0.68501,0.02855,60,Failure
28.174,48.301,2.7169,3.1705,60.41,0.48751,0.20848,4.2813,1.2147,0.31815,0.11152,0.18388,1.8559,0.32097,0.11301,22.494,1.4727,2.6598,27.842,1.33E-05,17.496,26.261,36.575,1.25E-06,18.277,-0.64104,0.13964,27,Stable
29.426,48.842,3.0313,2.533,92.11,0.44728,0.092175,5.3507,1.5983,0.36596,0.12229,11.63,2.032,0.50703,0.11244,3.6825,1.5623,6.8693,24.777,1.98E-05,16.601,25.218,29.72,2.22E-06,18.217,-0.75907,0.15741,66,Stable
28.132,48.508,4.7628,3.2332,61.545,0.49534,0.1898,6.4155,3.3266,0.33415,0.067478,3.8417,1.2887,0.27354,0.19024,3.0779,2.3924,7.8583,25.989,1.17E-05,17.644,26.664,32.606,2.30E-06,19.867,-1.0616,0.021171,59,Stable
29.371,48.586,2.4611,2.3585,69.512,0.46739,0.11299,1.3874,1.7383,0.49649,0.17162,5.0132,1.6697,0.34148,0.13634,2.0872,1.9277,6.1912,24.549,1.57E-05,17.447,24.267,35.44,2.45E-06,18.928,-1.1922,0.048067,25,Stable
29.848,48.421,4.5602,4.446,70.061,0.43679,0.19657,9.8007,1.2624,0.33272,0.10125,3.121,1.045,0.35573,0.23835,2.1837,3.0485,7.4264,21.586,1.49E-05,17.905,24.74,38.393,1.23E-06,19.692,-0.77267,0.084893,47,Failure
29.501,48.523,2.92,2.8925,90.132,0.43413,0.14822,1.3077,1.0539,0.40047,0.14667,4.6176,2.6442,0.34659,0.073392,21.353,1.448,10.595,22.07,1.05E-05,17.588,25.177,38.201,1.09E-06,18.34,-1.1915,0.077713,54,Stable
29.586,48.149,2.6535,4.1084,88.568,0.32263,0.20261,2.4132,1.5025,0.47534,0.12829,3.2412,2.875,0.45572,0.11937,9.3461,1.2888,7.9343,25.79,3.23E-05,17.766,27.264,38.815,1.13E-06,18.439,-1.0731,0.065267,19,Stable
29.97,48.06,2.8886,4.368,83.566,0.2714,0.14672,1.457,1.1897,0.5158,0.13353,5.1548,2.1416,0.5133,0.08657,7.7459,1.4605,8.787,26.627,1.26E-05,16.94,22.963,34.473,1.57E-06,18.085,-1.0014,0.023331,54,Stable
29.653,48.49,5.5614,5.777,86.416,0.38023,0.073181,3.2819,1.3783,0.46529,0.1498,1.8786,2.0865,0.32759,0.14617,0.5077,1.6138,10.116,28.928,2.07E-05,16.668,28.769,39.324,2.01E-06,19.88,-0.89792,0.087453,23,Failure
28.764,48.005,2.631,3.6837,60.723,0.37906,0.1291,2.5843,1.2558,0.38994,0.083179,4.0234,1.8592,0.42196,0.07757,0.94225,1.7565,4.1525,27.18,2.03E-05,16.432,25.546,37.683,2.09E-06,19.976,-1.488,0.12551,28,Stable
27.464,48.261,4.2913,2.9012,81.555,0.4589,0.12124,2.7627,1.9392,0.31099,0.14948,0.67805,2.9397,0.45268,0.11299,2.0412,1.7052,3.7608,21.756,2.10E-05,17.872,26.189,31.464,1.68E-06,18.083,-1.0309,0.13234,6,Failure
29.246,48.701,2.5753,4.9771,62.425,0.39171,0.065504,1.2589,1.7102,0.43819,0.20209,1.713,2.1707,0.32605,0.21545,9.3244,2.1929,8.117,27.968,1.66E-05,16.043,22.961,39.308,1.35E-06,18.638,-0.58975,0.041705,72,Stable
29.477,48.849,5.4584,5.8091,72.842,0.46565,0.097474,16.962,1.5744,0.47987,0.15558,0.69601,1.3685,0.47588,0.13216,17.169,1.3766,5.0787,25.357,1.44E-05,17.163,25.467,40.024,1.98E-06,18.114,-1.4015,0.075931,9,Stable
29.37,48.421,4.9248,4.1058,71.86,0.49389,0.14482,1.1528,1.2368,0.53643,0.15033,5.2995,1.5738,0.45948,0.23198,7.9882,1.6694,10.221,24.456,9.94E-06,16.127,22.989,34.138,1.41E-06,19.35,-0.52321,0.043049,17,Failure
28.602,48.99,3.0101,3.3676,76.935,0.37457,0.081714,9.3321,1.9152,0.46209,0.1639,11.641,1.497,0.23589,0.22231,10.34,1.0142,10.427,24.341,1.87E-05,17.068,26.866,36.54,1.12E-06,18.461,-0.8069,0.11426,41,Stable
29.036,48.207,2.7714,5.6534,84.556,0.47711,0.13446,24.34,1.1961,0.41242,0.20568,11.331,1.1851,0.40651,0.19126,0.79598,1.1568,14.093,24.447,2.27E-05,16.34,24.604,30.286,1.97E-06,19.022,-1.2782,0.018413,35,Stable
28.485,48.944,2.4307,3.3715,88.01,0.26376,0.13382,18.596,1.5923,0.51493,0.15788,2.3517,1.6704,0.45342,0.34616,16.94,1.6793,10.486,25.117,3.51E-05,16.086,25.273,36.07,4.95E-07,19.296,-0.76825,0.089465,63,Stable
29.552,48.951,2.3078,3.491,87.098,0.53871,0.17094,2.763,2.488,0.51634,0.23378,0.98286,1.9587,0.41705,0.10154,1.106,1.8738,9.3473,24.748,1.22E-05,16.829,24.745,32.587,1.60E-06,18.614,-1.3289,0.18847,53,Stable
28.682,48.469,3.2149,5.743,72.373,0.43063,0.14765,36.251,1.2223,0.34361,0.044573,5.5015,1.0539,0.27204,0.12622,1.2582,1.281,11.413,24.652,1.53E-05,16.934,23.426,36.428,1.07E-06,18.181,-1.1111,0.16639,55,Stable
29.789,48.707,4.6682,5.2482,93.703,0.42016,0.14813,3.4458,2.0098,0.42511,0.10947,3.0541,1.7874,0.41138,0.091049,1.8027,1.7006,9.4114,27.916,2.36E-05,17.87,23.497,35.645,1.04E-06,19.076,-1.4433,0.030955,62,Stable
29.09,48.491,4.5234,2.0388,78.762,0.38893,0.13752,2.3126,1.4689,0.4437,0.18812,0.81606,2.7287,0.56046,0.12735,2.6611,1.5945,9.8645,25.792,1.20E-05,17.151,23.249,31.297,1.50E-06,18.249,-0.62101,0.053975,49,Stable
28.748,48.366,2.3206,5.4227,64.527,0.40896,0.16056,1.8672,1.819,0.50241,0.086656,7.7101,1.665,0.31008,0.099913,5.0436,1.4152,10.426,24.651,2.18E-05,16.652,25.954,39.318,1.36E-06,18.727,-1.0529,0.13604,36,Stable
29.446,48.614,3.4694,4.2067,67.171,0.45083,0.1038,1.1521,1.1747,0.39533,0.085223,2.9534,1.8504,0.47208,0.12507,2.6828,1.2194,8.7892,23.595,1.40E-05,16.591,23.064,36.3,2.14E-06,19.593,-1.2619,0.00362,46,Stable
29.637,48.653,5.6846,2.3228,66.8,0.33391,0.18155,4.9485,1.5886,0.48804,0.063132,1.6191,1.4953,0.34976,0.15345,3.4129,2.2219,3.0651,24.212,1.35E-05,17.286,25.503,34.401,2.28E-06,19.818,-1.0327,0.18082,60,Failure
