,h_veg,r_st,LAI_min,LAI_max,Vr,alpha_veg,Vcan,k,f_red,z0,rs_soi,Ve,a,Vsoi,Vepi,Kepi,alpha_soi,Pm,Epotm,Tm,AI,ro_P_E,ETSI,PSI,Ip,Hp,H95,Dp,DS,DTR,RHm,WSm,Radm,CO2,Classes
8142145,1.3927,116.77,99.932,3.5787,141.53,0.22163,0.26549,0.50867,0.11332,0.0034341,14.953,16.396,3.1546,180.64,588.78,7.6686,0.3678,232,1162.6,17.258,5.0111,-0.63614,0.69962,0.85829,5.5447,7.9518,166.95,1.8434,9.5667,15.133,33.51,3.5776,44.323,429.36,C2
991845,1.2772,74.267,50.319,4.5632,159.66,0.2112,0.23038,0.49199,0.011329,0.0046589,14.611,39.372,1.9515,622.23,650.53,22.691,0.3426,711.43,477.1,15.31,0.67062,0.63474,0.85133,0.18465,4.5889,1.4717,16.85,2.3594,0.5,8.6057,86.301,1.6408,40.465,796.37,C3
15931294,23.54,155.87,56.306,6.2738,347.25,0.11265,0.30186,0.48731,0.11075,0.004078,91.289,37.698,4.1375,187.29,407.86,5.5764,0.36204,617.06,786.85,17.99,1.2752,-0.79703,0.6207,0.42631,8.3643,3.9895,37,1.9236,0,9.689,66.889,5.0175,42.95,531.92,C3
5776730,0.60152,98.141,58.399,2.3232,135.33,0.20456,0.36204,0.64735,0.0096647,0.01095,63.066,28.077,2.2554,173.14,320.75,16.614,0.36141,134.35,1128.8,20.524,8.4022,-0.88945,0.51033,0.58516,5.9413,16.589,126.4,1.6838,0,12.253,35.596,3.7351,45.505,352.14,C1
6309472,1.0782,47.724,67.439,4.0128,121.16,0.22367,0.33721,0.44636,0.13353,0.0035027,12.89,10.807,3.3588,608.76,490.51,1.2742,0.3953,657.89,529.45,10.971,0.80478,-0.76209,0.56285,0.2145,3.8178,1.2822,22,2.4494,0,8.033,75.104,6.8229,37.466,531.92,C3
2152112,1.3106,94.861,81.767,2.1932,111.86,0.24755,0.33097,0.44981,0.026532,0.011837,13.809,36.677,3.1234,646.5,371.44,36.06,0.35805,734.11,346.68,4.8172,0.47225,0.72325,0.916,0.2193,5.226,1.6128,19.2,2.387,179.5,7.7132,81.133,3.2339,34.122,352.14,C4
12907949,13.046,316.93,42.337,5.8135,359.39,0.10289,0.38102,0.62985,0.029281,0.0082714,37.235,40.207,1.2192,533.85,643.64,2.9282,0.36024,1227.5,351.34,9.6474,0.28623,0.58341,0.80407,0.16103,7.6658,1.2963,20.15,3.1877,84.2,9.4069,67.361,2.0752,35.97,352.14,C4
15316295,24.225,482.18,8.4027,7.5512,260.68,0.14638,0.28064,0.55711,0.14853,0.0084407,65.488,43.192,2.7197,572.46,362.66,43.11,0.34831,642.37,411.84,7.9561,0.64114,0.91194,0.77446,0.27447,4.0754,1.4504,17,2.5217,81.4,8.3008,72.169,3.6273,35.432,352.14,C2
12775807,32.523,331.05,79.606,7.4586,224.95,0.10962,0.39813,0.49073,0.057949,0.0015317,73.295,21.613,5.8792,103.52,222.47,48.036,0.30249,140.84,1210.6,22.828,8.5955,-0.6827,0.58597,0.98816,6.228,16.067,213.4,1.6984,0,16.581,13.357,2.3329,47.604,796.37,C2
8048478,0.6168,77.284,44.587,2.1186,130.4,0.24961,0.27463,0.51773,0.069017,0.0030237,27.74,23.282,1.9872,612.25,230.28,34.752,0.30051,584.07,788.62,12.26,1.3502,-0.33766,0.79754,0.18377,5.2725,2.3724,23.15,2.0345,23.3,9.2176,57.971,4.9414,39.374,796.37,C3
16405042,14.976,181.68,46.917,6.0877,44.173,0.13709,0.37708,0.63644,0.047024,0.0090356,45.659,22.275,5.9873,7.892,299.87,5.2758,0.34096,73.97,1057.1,21.749,14.291,-0.62848,0.4192,0.94228,6.2258,35.043,265.4,1.6796,0,16.088,12.883,2.3123,47.038,429.36,C2
4700654,0.85742,128.96,5.3573,4.9821,160.96,0.20973,0.24404,0.59518,0.12528,0.0048726,82.133,20.268,2.0292,468.22,252.83,35.48,0.34918,652.04,544.72,12.613,0.8354,0.66221,0.78946,0.20768,6.2184,2.53,25.35,2.1333,94.467,10.785,62.813,2.6288,38.641,429.36,C3
10859817,32.292,203.96,83.241,7.8244,201.1,0.13668,0.31559,0.46456,0.019015,0.0042394,16.168,23.543,3.4036,205.87,315.52,3.9591,0.30096,273.46,990.18,10.522,3.621,-0.67093,0.78252,0.27476,4.7741,5.4719,43.5,1.7802,100.33,11.363,44.832,5.2802,39.366,531.92,C2
10606286,20.845,254.97,41,6.3883,342.72,0.10707,0.2634,0.58142,0.022653,0.0098599,85.084,10.065,2.3426,188.59,596.71,14.908,0.39786,389.36,643.78,17.939,1.6534,-0.092933,0.64694,0.40233,6.8645,5.5181,47,1.7492,0,12.532,43.367,1.6329,42.658,531.92,C2
1901159,0.60363,114.08,80.395,3.9001,108.91,0.19924,0.31951,0.65111,0.019169,0.0064053,93.406,39.942,1.4925,479.44,401.41,2.2653,0.32415,570.09,611.95,7.8688,1.0734,0.14038,0.79145,0.13208,4.9453,2.2671,23,2.2074,117.43,8.4274,62.092,4.8423,36.467,352.14,C3
3003686,0.67247,89.412,56.945,2.1633,152.51,0.1855,0.2063,0.63732,0.12859,0.0041295,58.596,14.569,2.819,45.177,683.79,21.459,0.34613,6.4287,2295.1,28.771,357.01,-0.28555,0.3565,0.96234,2.674,341.41,1816.5,1.3333,0,15.338,11.598,7.3858,49.676,610.55,C1
15943334,13.834,186.93,87.042,5.5753,109.35,0.10489,0.31497,0.66334,0.11592,0.0078726,4.3842,11.924,3.6126,27.499,306.44,42.122,0.36087,99.173,1862.8,26.07,18.784,-0.82731,0.44486,0.93055,7.1283,26.739,244.7,1.7174,0,15.036,17.665,5.2404,49.111,531.92,C2
15484033,25.678,396.26,83.765,6.3043,231.32,0.15996,0.33825,0.42985,0.069587,0.00645,38.056,37.521,2.4502,422.02,528.19,44.35,0.31057,1044,460.34,11.092,0.44093,-0.71205,0.84016,0.14734,8.8063,2.0876,22.3,2.3812,6,9.4224,66.615,1.9492,38.054,352.14,C4
16849648,11.22,239.42,61.391,9.0071,290.1,0.1281,0.32982,0.67781,0.080608,0.010839,96.619,8.0945,2.3787,256.18,268.62,47.774,0.39744,794.95,572.53,14.516,0.72021,0.41843,0.78841,0.29513,6.4492,2.0445,23,2.2314,0,12.164,76.541,1.6407,41.584,610.55,C3
12397460,31.918,332.07,10.679,8.8527,218.24,0.15227,0.39971,0.47689,0.14272,0.0028921,78.23,11.711,2.2176,565.8,495.02,19.258,0.36648,613.3,315.65,1.3533,0.51467,0.71961,0.98812,0.28879,4.9116,1.9544,19.75,1.976,209.9,9.5041,85.39,3.5683,32.592,352.14,C3
15903409,32.021,351.71,71.651,6.2912,272.51,0.10493,0.37689,0.53289,0.055057,0.0083772,28.637,38.078,1.2951,483.87,352,48.348,0.30412,1053.9,562.01,13.453,0.53327,-0.53057,0.90198,0.21412,5.7034,1.0082,19,3.1424,0,8.1185,84.098,3.9111,40.149,610.55,C3
16457816,21.009,498.62,83.195,9.6188,387.21,0.14499,0.37209,0.42504,0.04914,0.00082858,60.051,34.235,3.1518,530.41,585.28,29.722,0.37802,980.03,456.55,10.119,0.46585,-0.53837,0.77894,0.13974,4.6654,0.8057,13,3.2683,4.2,7.8479,70.25,3.3349,36.824,531.92,C2
13133249,23.156,492.62,22.748,5.6278,340.36,0.12549,0.38691,0.68003,0.046061,0.0062999,1.8497,13.454,3.7131,109.69,473.47,11.893,0.37164,509.83,847.11,15.522,1.6615,-0.5541,0.55586,1.0419,17.838,11.875,212.6,2.1436,4.5333,17.016,10.699,2.1485,42.685,429.36,C4
17120810,30.489,480.64,52.101,9.9917,365.01,0.14282,0.36459,0.45991,0.074453,0.0084303,0.32823,30.51,3.0188,227.36,672.03,35.136,0.37246,267.91,620.28,14.35,2.3153,-0.16821,0.69967,0.33922,2.8319,3.3727,42.45,2.2177,159.3,12.024,57.829,1.1645,41.978,352.14,C2
6174603,0.5969,88.454,40.416,4.4514,113.61,0.20546,0.26102,0.60751,0.1085,0.010757,70.307,15.103,1.1119,208.45,469.17,6.2827,0.33928,242.12,821.06,20.885,3.3911,-0.44736,0.56307,0.68553,8.5274,12.201,100.4,2.0494,0,16.101,13.386,1.0669,46.168,429.36,C2
17169052,25.072,166.17,45.382,7.2417,315.69,0.15587,0.24952,0.46604,0.053658,0.0086994,69.443,25.859,2.3556,591.58,606.96,39.656,0.38748,1328.1,483.41,10.054,0.36398,-0.89315,0.69129,0.19604,6.7277,0.86725,16.6,3.649,0,6.6331,76.705,7.4022,36.483,429.36,C3
12367400,28.898,295.69,6.2622,7.0972,186.3,0.13917,0.36914,0.58735,0.14376,0.0043963,3.805,39.451,4.7381,39.003,548.84,30.572,0.37187,7.5827,2189.2,25.939,288.72,-0.37238,0.3576,0.87536,4.8127,303.36,1704,1.5652,0,15.535,12.719,7.4352,48.404,610.55,C1
2552751,1.3832,54.574,72.514,4.9671,129.37,0.18629,0.20964,0.48635,0.053563,0.0032231,69.413,7.3137,4.9118,229.41,696.34,47.273,0.35334,466,918,18.08,1.97,-0.69661,0.50398,0.68838,10.264,7.1103,103.85,2.5158,0,12.826,29.744,2.0016,44.896,429.36,C3
4668252,0.85742,128.96,5.3573,4.9821,160.96,0.20973,0.24404,0.59518,0.12528,0.0048726,82.133,20.268,2.0292,468.22,252.83,35.48,0.34918,434.66,612.49,14.915,1.4091,-0.80782,0.67018,0.25622,4.4538,2.9671,36,2.5669,0,12.094,65.44,2.677,41.346,531.92,C3
314440,1.2425,134.32,44.844,4.2411,182.24,0.20198,0.24739,0.58889,0.0032493,0.0019656,97.422,40.952,1.374,225.52,634.41,20.51,0.35492,552.05,631.76,17.764,1.1444,-0.95524,0.74787,0.53585,7.1751,3.7805,47,2.2604,0,10.547,61.322,2.9991,41.827,429.36,C3
